disease_id,crisis_id,disease_name,description,severity_level,symptoms,common_causes,peak_months
1,1,Cholera,Acute diarrheal disease caused by contaminated water during immersion rituals,High,"Watery diarrhea, vomiting, dehydration, electrolyte loss","Contaminated water bodies, poor sanitation, crowded conditions",September-October
2,1,Typhoid,Bacterial infection from contaminated food and water,High,"Sustained fever, weakness, abdominal pain, rose spots rash",Contaminated food/water from poor sanitation,August-October
3,1,Hepatitis A,Liver infection transmitted through contaminated water,Medium,"Jaundice, abdominal pain, fever, loss of appetite","Fecal-oral transmission, contaminated water",August-October
4,1,Gastroenteritis,Inflammation of stomach and intestines from contaminated food/water,Medium,"Diarrhea, vomiting, abdominal cramps, nausea","Bacterial/viral pathogens (E.coli, Rotavirus, Salmonella)",August-October
5,1,Leptospirosis,Bacterial infection from contact with contaminated water and sewage,High,"Fever, muscle pain, headache, jaundice, kidney damage","Contact with infected water, rat urine contamination",August-October
6,1,Skin Infections (Bacterial/Fungal),Infections from water immersion and crowded conditions,Low,"Itching, redness, pustules, fungal rash","Prolonged water contact, poor hygiene, wound exposure",September-October
7,1,Respiratory Tract Infections,Upper respiratory infections from crowding and wet conditions,Low,"Cough, sore throat, runny nose, sneezing","Viral transmission, close contact, humidity",September-October
8,1,Fever (Undifferentiated),Fever from various pathogens in crowded settings,Low,"Elevated temperature, body aches, fatigue",Viral/bacterial transmission in crowds,September-October
9,1,Dehydration,"Loss of body fluids from diarrhea, vomiting, or heat exposure",Medium,"Dry mouth, dizziness, fatigue, reduced urination","Diarrhea, vomiting, inadequate fluid intake",September-October
10,1,Crowded Injury,Physical injuries from crowd surges and pushing,Low,"Bruising, sprains, fractures, trampling injuries","Crowd density, pushing, stampede",September-October
11,2,Burn Injuries,Thermal injuries from firecracker explosions and mishandling,High,"Pain, blistering, skin loss, charring, tissue damage","Firecracker explosions, flame contact",October-November
12,2,Eye Injuries,Ocular trauma from firecracker blasts and sparks,High,"Eye pain, redness, vision loss, corneal abrasion","Direct firecracker blast, spark contact",October-November
13,2,Hearing Loss / Acoustic Trauma,Hearing damage from loud firecracker explosions,Medium,"Tinnitus, hearing loss, ear pain, vertigo",Loud noise exposure from firecrackers,October-November
14,2,Hand/Finger Injuries,"Lacerations, amputations, fractures from firecracker handling",High,"Bleeding, severe pain, limb deformity, nerve damage","Firecracker premature explosion, direct contact",October-November
15,2,Respiratory Irritation,Acute respiratory symptoms from smoke and pollutants,Medium,"Cough, sore throat, wheezing, breathlessness","Smoke inhalation, chemical pollutants from firecrackers",October-November
16,2,Asthma Exacerbation,Worsening of asthma in susceptible individuals,High,"Severe coughing, chest tightness, wheezing, breathlessness","Air pollution, smoke inhalation",October-November
17,2,Allergic Reactions,Allergies triggered by firecracker residues and fumes,Low,"Itching, hives, swelling, rhinitis",Chemical exposure from firecrackers,October-November
18,2,Infection (Post-burn),Secondary bacterial infection of burn wounds,High,"Redness, pus, fever, wound drainage",Open burn wounds exposed to pathogens,October-November
19,2,Shock/Systemic Response,Severe systemic reaction to extensive burns,High,"Hypotension, rapid pulse, organ failure","Large area burns, severe injury",October-November
