hospital_id,name,area_id,specializations
1,Breach Candy Hospital,1,"Multi-specialty tertiary care: cardiology (advanced interventions, TAVI), neurology & neurosurgery, orthopedics (joint replacements), oncology (chemo, radiation), gastroenterology (endoscopy), maternity & IVF, pediatrics, critical care ICU, transplants, advanced diagnostics (MRI, PET-CT), 24/7 emergency services, wellness programs."
2,Sion Hospital,4,"Government teaching hospital: general medicine, surgery, pediatrics, gynecology & obstetrics, emergency & trauma care, ICU, ophthalmology, orthopedics, ENT, dermatology, psychiatry, chest medicine, casualty services, vaccination center."
3,Hinduja Hospital,11,"Multi-specialty: cardiology (heart transplants, bypass), neurology & neurosurgery, oncology, orthopedics & spine surgery, gastroenterology & hepatology, nephrology & kidney transplants, endocrinology, critical care, rehabilitation, advanced diagnostics."
4,Lilavati Hospital,13,"Super-specialty: cardiology (robotic heart surgery), oncology (comprehensive cancer care), neurology & neurosurgery, orthopedics (sports medicine), gastroenterology, nephrology & transplants, IVF & fertility, urology, advanced robotics, 24/7 emergency."
5,Bombay Hospital,16,"Multi-specialty: cardiology, neurology, oncology, orthopedics, gastroenterology & GI surgery, urology, nephrology, pulmonology, ENT, ophthalmology, pediatrics, emergency services, diagnostics."
6,KEM Hospital,25,"Government teaching hospital: general medicine, surgery, cardiology, neurology, pediatrics, gynecology, orthopedics, trauma & emergency care, ophthalmology, ENT, dermatology, psychiatry, chest diseases."
7,Dr L H Hiranandani Hospital,25,"Multi-specialty: cardiology (interventional), oncology, neurology & spine, orthopedics & joint replacement, gastroenterology, nephrology, urology, maternity, pediatrics, critical care ICU, advanced diagnostics."
8,Fortis Hospital Bangalore,33,"Multi-specialty: cardiology & cardiothoracic surgery, neurology & neurosurgery, oncology (radiation, chemo), orthopedics & spine, gastroenterology, transplants (liver, kidney), critical care, robotics surgery, emergency."
9,Apollo Hospital Bangalore,33,"Comprehensive multi-specialty: cardiology, oncology, neurology, orthopedics, gastroenterology & hepatobiliary, pediatrics, neonatology, emergency & trauma, transplants, advanced diagnostics, wellness center."
10,Manipal Hospital Yeshwanthpur,33,"Multi-specialty: cardiology, neurology, orthopedics & joint replacement, oncology, gastroenterology, nephrology, urology, maternity, pediatrics, critical care, day care surgery."
11,SPARSH Hospital Yeshwanthpur,33,"Multi-specialty focus: orthopedics & joint replacement, spine surgery, cardiology, neurology & neurosurgery, oncology, gastroenterology, plastic surgery, preventive health, emergency services."
12,St. Philomena Hospital,41,"Multi-specialty: general medicine, general surgery, gynecology & obstetrics, pediatrics, orthopedics, ENT, ophthalmology, dermatology, emergency services, diagnostics."
13,Manipal Hospital JP Nagar,41,"Multi-specialty: cardiology, neurology, orthopedics, oncology, gastroenterology, nephrology, urology, maternity, pediatrics, critical care."
14,Aster RV Hospital,41,"Super-specialty: cardiac sciences (TAVI, EP), neurosciences, gastro sciences, orthopedics & spine, transplants (bone marrow, kidney), oncology, critical care, mother & child care."
15,Vikram Hospital,45,"Multi-specialty: cardiology & CTVS, neurology & neurosurgery, orthopedics, oncology, gastroenterology & minimally invasive surgery, critical care."
16,Indraprastha Apollo Hospital,55,"Super-specialty: cardiology, cardiac surgery, oncology, neurology, neurosurgery, orthopedics, gastroenterology, transplants (liver, kidney, bone marrow), IVF."
17,Sir Ganga Ram Hospital,55,"Multi-specialty: cardiology, cardiac surgery, neurology, oncology, orthopedics, nephrology & transplants, gastroenterology, pediatrics, critical care."
18,Jaipur Golden Hospital,55,"Multi-specialty: cardiology & CTVS, neurology & neurosurgery, oncology, orthopedics, gastroenterology, minimal access surgery, emergency."
19,Safdarjung Hospital,57,"Government super-specialty: cardiology, neurology, oncology, orthopedics, plastic surgery, burn & trauma center, emergency services, AIIMS-affiliated."
20,Sanjay Gandhi Memorial Hospital,57,"Government hospital: general medicine, surgery, pediatrics, gynecology, orthopedics, emergency services, community health."
21,BLK-Max Super Speciality Hospital,71,"Super-speciality: cardiology, oncology (bone marrow transplant), neurology & spine, orthopedics, gastroenterology, nephrology, urology, critical care."
22,Indian Spinal Injuries Centre,71,"Specialty: spinal injuries & deformities, orthopedics, neurology, neurosurgery, rehabilitation, urology, plastic surgery, critical care."
23,AIIMS Delhi,87,"Premier institute: cardiology, neurology, oncology, nephrology, endocrinology, transplants, neurosurgery, trauma center, all super-specialties, research."
24,Max Super Speciality Hospital,87,"Multi-specialty: cardiology, oncology, neurology, orthopedics, gastroenterology, critical care, transplants, advanced diagnostics."
25,Bhabha Hospital,1,"Government multi-specialty: general medicine, surgery, gynecology & obstetrics, pediatrics, orthopedics, emergency & trauma care, ICU, ENT, ophthalmology, dermatology, casualty services, vaccination center."
26,B G Kher Municipal Hospital,1,"Municipal general hospital: general medicine, surgery, pediatrics, gynecology, emergency services, OPD, diagnostics, casualty."
27,BBMP Yeshwanthpur Hospital,33,"Government municipal hospital: general medicine, emergency care, OPD, basic diagnostics, vaccination, maternal & child health."
28,Government General Hospital JP Nagar,41,"Government general hospital: general medicine, surgery, gynecology & obstetrics, pediatrics, emergency services, OPD, vaccinations."
29,ESI Hospital CV Raman Nagar,45,"Government ESI hospital: general medicine, orthopedics, gynecology, pediatrics, emergency, OPD, insured patient care."
30,Rajawadi Hospital,16,"Government hospital: general medicine, surgery, gynecology & obstetrics, pediatrics, orthopedics, emergency & trauma, ICU."
31,Kasturba Hospital,11,"Government maternity hospital: gynecology & obstetrics, high-risk pregnancy, neonatal care, family planning, emergency maternity services."
32,Lal Bahadur Shastri Hospital,87,"Government hospital: general medicine, surgery, cardiology, neurology, orthopedics, emergency & trauma, ICU."
33,Chacha Nehru Bal Chikitsalaya,87,"Government pediatric hospital: pediatrics, neonatology, pediatric surgery, emergency pediatric care, vaccinations, child health."

